requirement_en,entry,read,write,exit,cfp,interaction,communication,process,microm
The candidacy data of the student who has withdrawn his/her candidacy is deleted from the database.,0,0,1,0,1,0,1,0,1
The nomination is withdrawn and appears in the system only as a voter.,0,0,0,1,1,1,0,0,1
Admin logs into the system with his/her username and password from his/her own admin panel successfully.,1,0,0,0,1,1,0,0,1
"Admin, through his/her own panel, to students and staff announces that it will start the election from the announcements section",1,0,0,0,1,1,0,0,1
Voting interface and system database are checked once again. (See 2.1).,0,0,0,0,0,0,0,0,0
The Voting interface has been initialized. The Voting system has been initialized.,0,0,0,0,0,1,0,0,1
Students can start voting for Department Student Representative Election System.,1,0,0,0,1,1,0,0,1
The system starts to save the votes to the database.,0,0,1,0,1,0,1,0,1
Admin logs into the system with his/her username and password from his/her own admin panel,1,0,0,0,1,1,0,0,1
Voting system ends,1,0,0,0,1,1,0,0,1
The data of the votes are taken from the database.,0,1,0,0,1,0,1,0,1
"Since a sufficient majority is not achieved,",1,0,0,0,1,0,0,1,1
a decision is made to hold a re-election.,0,0,0,1,1,1,0,0,1
Voters will be informed via email about when the next election will be held.,0,0,0,1,1,0,1,0,1
Voting system re-initializes. (See 3.1.4.3),1,0,0,0,1,0,1,0,1
"A quorum is obtained, and a representative is elected.",0,0,0,1,1,0,1,1,2
The voting process has ended by the administrator.,0,0,1,0,1,0,1,0,1
System revokes the given access to the voting interface for the voters.,0,0,0,1,1,0,1,1,2
System automatically counts the votes.,0,0,1,0,1,0,2,1,3
System informs the administrator about the result,0,0,0,1,1,0,1,0,1
The documents sent by the students have been received by the system.,1,0,0,0,1,1,0,0,1
Administrator receives the documents,1,0,0,0,1,1,0,0,1
Administrator prompts the system to start the confirmation process.,1,0,0,0,1,1,0,0,1
System communicates with the OBS and E-Devlet to confirm the documents.,0,0,1,0,1,0,1,1,2
Candidate's documents are valid and their application to become a candidate has been approved.,0,0,1,0,1,0,1,1,2
System informs the student about the result,0,0,0,1,1,1,0,0,1
The updated documents sent by the representatives have been received by the administrator.,0,0,0,0,0,1,0,0,1
System communicates with the OBS and E-Devlet to confirm the updated documents.,0,0,0,0,0,0,1,1,2
OBS and E-Devlet shows that the updated documents are valid.,0,0,1,0,1,0,1,1,2
"System informs the representative that their updated documents are valid, and their representation still continues.",0,0,0,1,1,1,0,0,1
Admin prompts system to send a unique code to every student who has been elected as candidate via student e-mail of that student.,1,0,0,0,1,1,0,0,1
System reads candidates emails,0,1,0,0,1,0,1,0,1
System send emails,0,0,0,1,1,1,0,1,2
The candidate logins to Zimbra Webmail and checks for the related e-mail.,0,0,0,0,0,1,0,0,1
Student clicks that link.,1,0,0,0,1,1,0,0,1
System updates candidate’s student account to candidate account.,0,0,1,0,1,0,1,0,1
The administrator prompts the system to automatically choose the president of the Student Council from Faculty Representatives by using alphabetical order every two years.,1,1,1,0,3,1,2,1,4
The System informs the Administrator about this selection.,0,0,0,1,1,1,0,0,1
The admin changes account type voter to candidate.,1,0,1,0,2,1,1,0,2
The system generates a code .,0,0,0,0,0,0,0,1,1
The user requests to make an announcement.,1,0,0,0,1,1,0,0,1
The system displays a form page to fill out.,0,0,0,1,1,1,0,0,1
The user fills the form.,1,0,0,0,1,1,0,0,1
The user asks to send the form.,1,0,0,0,1,1,0,0,1
The system displays filled form in announcements page.,0,0,0,1,1,1,0,0,1
The user clicks the ‘Logout’ button.,1,0,0,0,1,1,0,0,1
"After a 5 second countdown, the login page appears and is ready for the user to login again.",0,0,0,1,1,1,0,1,2
The user opens the ‘Election Results’ page.,1,0,0,0,1,1,0,0,1
The user See the results,0,0,0,0,0,1,0,0,1
The user opens the ‘Change Password’ page.,1,0,0,0,1,1,0,0,1
The user types the current password. Types new password twice for validation.,1,0,0,0,1,1,0,0,1
The user Clicks ‘Change Password’ button.,1,0,0,0,1,1,0,0,1
System saves new password,0,0,0,0,0,1,1,0,2
User fills in the required input fields provided by the system with their information.,1,0,0,0,1,1,0,0,1
He/She clicks on the ‘Register’ button with information.,0,0,1,0,1,0,1,0,1
System will ask the user to provide his/her phone number to be able to send a verification code.,1,0,0,0,1,1,0,0,1
System sends verification code to provided phone number.,0,0,0,1,1,1,1,1,3
Then the user will be directed to a page in which the user fills verification code.,1,0,0,0,1,1,0,0,1
If the provided verification code is correct then the user will be directed to his/her dashboard page.,0,1,0,1,2,0,1,1,2
System updates the user activation status.,0,0,1,0,1,0,1,0,1
Applicant fills the given form by the system with correct and up-to-date information. Clicks on the ‘Next’ button.,1,0,0,0,1,1,0,0,1
Form is saved,0,0,1,0,1,0,1,0,1
System directs the user to the next application page in which the user is asked to provide his/her related documents along with additional information.,0,0,0,1,1,1,0,0,1
User selects his/her citizenship and working status. User uploads all required documents. Clicks on the submit application button.,1,0,0,0,1,1,0,0,1
System saves the documents and additional information provided,0,0,1,0,1,0,1,0,1
Sand displays a message indicating the success of the transaction of the user. (Use Case ID 3),0,0,0,1,1,1,0,0,1
User clicks on the “choose file” button on the upload document field. File explorer window for user’s device shows up. User chooses his/her documents from his/her device.,1,0,0,0,1,1,0,0,1
System uploaded documents,0,0,1,0,1,0,1,0,1
User realizes the upload is done when the file name appears instead of ‘Choose a File’ text.,0,0,0,1,1,1,0,0,1
User clicks on the submit application button.,1,0,0,0,1,1,0,0,1
"System saves the documents and additional information provided, and displays a message indicating the success of the transaction of the user.",0,0,1,0,1,0,1,0,1
"User clicks on the ‘Application Status’ button, displayed on the left of the screen.",1,0,0,0,1,1,0,0,1
System shows his/her application status.,0,0,0,1,1,1,1,0,2
"If the interview is set by the department it is shown right below the application status information. If the interview is not set yet, then an indicative message is displayed instead.",0,0,0,1,1,0,1,1,2
User clicks the list confirmed applications button.,1,0,0,0,1,1,0,0,1
The program shows all the confirmed applications of that department to the user if any.,0,1,0,1,2,1,1,0,2
User chooses a date from the calendar. Choses a time for interview. Enters a location. For interview details.,1,0,0,0,1,1,0,0,1
Clicks the “set interview” button to finish the process.,1,0,0,0,1,1,0,0,1
System saves the interview details to the database.,0,0,1,0,1,0,1,0,1
User can click to the applicant to see applicant details.,1,0,0,0,1,1,0,0,1
System displays personal information of the applicant.,0,1,0,1,2,1,1,0,2
User can click the open buttons of the given documents.,1,0,0,0,1,1,0,0,1
System opens the document in a new tab.,0,1,0,1,2,1,1,0,2
Disable set an interview button if interview is set,0,1,0,1,2,0,1,1,2
"To set an interview, user can click the enabled “set an interview”",0,1,0,1,2,0,1,1,2
"To cancel an interview, user can click the “cancel the interview” button.",0,1,0,1,2,0,1,1,2
User selects the ‘Enter assessment results’ section on his/her dashboard.,1,0,0,0,1,1,0,0,1
System directs the user to the corresponding page in which he/she can select students to be accepted.,0,0,0,1,1,1,0,0,1
User provides the results to the system by selecting the applications that will be accepted.,1,0,0,0,1,1,0,0,1
User clicks on the ‘Submit results’ button.,1,0,0,0,1,1,0,0,1
System saves selected applicants result,0,0,1,0,1,0,1,0,1
Grad School checks the documents by clicking the open buttons near to them and other requirements of the application(s).,1,0,0,0,1,1,0,0,1
"User reviews each document by clicking on the ‘open’ button, clicks the checkbox on the left if the document is proper. Finally, the user clicks on the ‘Submit Result’ button.",1,0,0,0,1,1,0,0,1
Assessment result is saved,0,0,1,0,1,0,1,0,1
User presses assessment results from his/her dashboard.,1,0,0,0,1,1,0,0,1
A new interface shows up with a list of departments that have submitted their assessments.,0,1,0,1,2,1,1,0,2
After the user chooses a department,1,0,0,0,1,1,0,0,1
System displays another interface that takes place where there is a list of chosen students.,0,1,0,1,2,1,1,0,2
The user clicks button named “Submit All Results” to confirm and then announce the results.,1,0,0,0,1,1,0,0,1
Also there will be a pop up that double checks user that they’re sure to do that.,1,0,0,0,1,1,0,0,1
After the user has confirmed the process. Each chosen applicant will be informed with an automatic email.,0,1,1,1,3,1,2,0,3
User clicks on the “forgot my password” button.,1,0,0,0,1,1,0,0,1
"Password reset interface shows up, the user will be asked to enter his/her registered email address.",0,0,0,1,1,1,0,0,1
User enters his/her registered email.,1,0,0,0,1,1,0,0,1
"User clicks ""reset password"" button.",1,0,0,0,1,1,0,0,1
System sends password reset email to the corresponding user’s email address.,0,1,0,1,2,1,1,0,2
User clicks on the link in the verification email.,1,0,0,0,1,1,0,0,1
User is directed to a page where he/she can enter his/her new password.,0,0,0,1,1,1,0,0,1
User has already logged in to the system and wants to change his/her password starts the password reset process by pressing the “Reset Password” button.,1,0,0,0,1,1,0,0,1
"Password reset interface shows up, the user will be asked to enter his/her new password.",0,0,0,1,1,1,0,0,1
User clicks on the ‘Account Settings’ button.,1,0,0,0,1,1,0,0,1
Systems shows his/her personal information related to his/her account.,0,1,0,1,2,1,1,0,2
User changes his/her personal information related to his/her account or deletes the account.,1,0,0,0,1,1,0,0,1
System asks for confirmation for the changes made.,0,0,0,1,1,1,0,0,1
User confirms the changes.,1,0,0,0,1,1,0,0,1
System saves the changes.,0,0,1,0,1,0,1,0,1
Buyer clicks the email button.,1,0,0,0,1,1,0,0,1
Buyer enters a valid e-mail address with email format to the email textbox,1,0,0,0,1,1,0,0,1
Buyer clicks the password button.,1,0,0,0,1,1,0,0,1
Buyer enters the valid password with a password field that should be 8 characters.,1,0,0,0,1,1,0,0,1
Buyer login Auction System with clicking the “LOGIN” button.,1,0,0,0,1,1,0,0,1
"If the buyer enters the user information correctly, the system will switch to the auction panel.",0,1,0,1,2,1,1,1,3
"Buyer can can presses the “+5” button, the “+10” button, “+20” button, the “+50” button. Bit amount is increased according to the button clicked",1,0,0,0,1,1,0,0,1
Buy can set the bid amount manually by pressing the “Enter Bid” button before Remaining Sec Section become zero.,1,0,0,0,1,1,0,0,1
"After the operations, Buyer can make/give a bid by pressing the “Make Bid” button.",1,0,0,0,1,1,0,0,1
Bid is made after buyer clicks on button,0,0,1,0,1,0,1,0,1
Cooperative clicks “Create catalog” button.,1,0,0,0,1,1,0,0,1
Catalog section displays.,0,0,0,1,1,1,0,0,1
Cooperative enters necessary information about fishes to the opened pop-up.,1,0,0,0,1,1,0,0,1
Cooperative clicks the “Save” button.,1,0,0,0,1,1,0,0,1
System saves the data.,0,0,1,0,1,0,1,0,1
Cooperative enters auction details and clicks to the create button.,2,0,0,0,2,1,0,0,1
System saves the auction details.,0,0,1,0,1,0,1,0,1
Cooperative clicks the “Finish auction” button.,1,0,0,0,1,1,0,0,1
The system will end the auction's broadcast.,0,0,1,0,1,0,1,0,1
Cooperative clicks “Show Detailed Report” to show auction's report.,1,0,0,0,1,1,0,0,1
"After clicking, the final price is calculated and the information is written into the detailed report.",0,1,0,1,2,1,1,1,3
Student click student button.,1,0,0,0,1,1,0,0,1
The system shows the student login page.,0,0,0,1,1,1,0,0,1
Student fill the e-mail field and password fields.,1,0,0,0,1,1,0,0,1
Student click the login button.,1,0,0,0,1,1,0,0,1
"If student e-mail and password are correct, system shows the homepage",0,1,0,1,2,1,1,1,3
"If student forget password, student click the forget password button",1,0,0,0,1,1,0,0,1
system shows password change interface.,0,0,0,1,1,1,0,0,1
Advisor click advisor button.,1,0,0,0,1,1,0,0,1
System shows the advisor login page.,0,0,0,1,1,1,0,0,1
Advisor fill the e-mail field. Advisor fill the password field.,1,0,0,0,1,1,0,0,1
Advisor click the login button,1,0,0,0,1,1,0,0,1
System shows the homepage.,0,1,0,1,2,1,1,1,3
"If advisor forget password, advisor click the forget password button.",1,0,0,0,1,1,0,0,1
System shows password change interface.,0,0,0,1,1,1,0,0,1
Student click Module PPF.,1,0,0,0,1,1,0,0,1
System open Module PPF.,0,0,0,1,1,1,0,0,1
Student fill the name and surname field. Student fill the student ID field. Student fill the E-Mail field. Student fill the advisor field. Student select with thesis in Master’s Degree thesis field. Student fill minimum number of courses field. Student fill minimum number of local credits field. Student fill minimum number of ECTS credits field. Student fill minimum number of courses field. Student fill other requirements field. Student selects the semester. Student fills the table. Student click the save changes button.,1,0,0,0,1,1,0,0,1
Advisor select the inbox button,1,0,0,0,1,1,0,0,1
system shows the inbox,0,0,0,1,1,1,0,0,1
Advisor click the system message.,1,0,0,0,1,1,0,0,1
Advisor fill the anti-spam field.,1,0,0,0,1,1,0,0,1
Advisor submit approved in status field for module. Advisor submit for correction.,1,0,0,0,1,1,0,0,1
System transmits this operation to EABDB pending requests’s inbox to approve.,0,0,1,0,1,0,1,0,1
System transmits this operation to student pending requests’s inbox to approve.,0,0,1,0,1,0,1,0,1
System transmits this operation to advisor pending requests’s outbox.,0,0,1,0,1,0,1,0,1
System send a notification to EABDB and student.,0,0,0,1,1,1,0,0,1
EABDB select the inbox button.,1,0,0,0,1,1,0,0,1
System shows the inbox.,0,0,0,1,1,1,0,0,1
EABDB click the system message.,1,0,0,0,1,1,0,0,1
EABDB fill the anti-spam field.,1,0,0,0,1,1,0,0,1
"EABDB submit “approved"" in status field. EABDB submit for correction.",1,0,0,0,1,1,0,0,1
System transmits this operation to EABDB pending requests’s outbox.,0,0,1,0,1,0,1,0,1
System transmits this operation to student pending request’s inbox.,0,0,1,0,1,0,1,0,1
System send a notification to advisor and student.,0,0,0,1,1,1,0,0,1
System send a notification to advisor and student about correction,0,0,0,1,1,1,0,0,1
Student fill the name and surname field. Student fill the student ID field. Student fill the advisor field.  Student click the save changes button,1,0,0,0,1,1,0,0,1
System saves changes,0,0,1,0,1,0,1,0,1
Student click connect to OBS field.,1,0,0,0,1,1,0,0,1
System take the student information from OBS.,0,1,0,0,1,0,1,0,1
Student filled the anti-spam field.,1,0,0,0,1,1,0,0,1
System send a notification to student.,0,0,0,1,1,0,1,0,1
Student click the print button to print.,1,0,0,0,1,1,0,0,1
Result is printed,0,0,0,1,1,1,0,0,1
Student fill the name and surname field. Student fill the student ID field. Student fill the E-Mail field. Student fill the advisor field. Student select with Master’s in Program name field. Student fill the University field. Student fill the code field. Student fill course name field. Student fill credits field. Student fill ECTS field. Student select the counted or not counted counted toward credits field. Student select “For Approve” in status field. Student click the save changes button.,1,0,0,0,1,1,0,0,1
System transmits this operation to advisor pending requests’s inbox to approve.,0,0,1,0,1,0,1,0,1
System transmits this operation to student pending requests’s outbox.,0,0,1,0,1,0,1,0,1
System send a notification to advisor.,0,0,0,1,1,1,0,0,1
Advisor click the pending request button.,1,0,0,0,1,1,0,0,1
System open request module page.,0,0,0,1,1,1,0,0,1
Advisor select the inbox button.,1,0,0,0,1,1,0,0,1
Advisor click the system message. Advisor can control students informations.,1,0,0,0,1,1,0,0,1
Advisor fill the anti-spam field. Advisor submit approved or for correction in status field.,1,0,0,0,1,1,0,0,1
Advisor click the save changes button.,1,0,0,0,1,1,0,0,1
System transmits this operation to EABDB pending requests’s inbox.,0,0,1,0,1,0,1,0,1
System transmits this operation to student pending requests’s inbox.,0,0,1,0,1,0,1,0,1
System transmits this operation to Advisor pending requests’s outbox.,0,0,1,0,1,0,1,0,1
EABDB click the pending request button.,1,0,0,0,1,1,0,0,1
System open request module page,0,0,0,1,1,1,0,0,1
EABDB click the system message. EABDB control students informations.,1,0,0,0,1,1,0,0,1
EABDB fill the anti-spam field. EABDB submit approved in status field. EABDB submit for correction in status field. EABDB click the save changes button.,1,0,0,0,1,1,0,0,1
System send a notification to advisor and student. System send a notification to advisor and student about correction.,0,0,0,1,1,1,0,0,1
Student click modules.,1,0,0,0,1,1,0,0,1
System shows the modules submenu.,0,0,0,1,1,1,0,0,1
Student click Module TTAS.,1,0,0,0,1,1,0,0,1
System open Module TTAS.,0,0,0,1,1,1,0,0,1
Student fill the name and surname field. Student fill the student ID field. Student fill the E-Mail field. Student click Advisor button and select advisor’s name in advisor field. Student fill the thesis name in thesis name field(if student is in third semester). Student click button “Master’s” in program name field. Student filled the anti-spam field. Student select “For Approve” in status field. Student click the “save changes” button.,1,0,0,0,1,1,0,0,1
System open request module page. Advisor can see the pending requests,0,0,0,1,1,1,0,0,1
System shows the inbox. Advisor can see the messages in the his/her inbox.,0,0,0,1,1,1,0,0,1
"Advisor can control students informations, advisor information and thesis name. Advisor fill the anti-spam field. Advisor submit approved or for correction in status field. Advisor click the save changes button.",1,0,0,0,1,1,0,0,1
System send a notification to EABDB and student.System send a notification to student.,0,0,0,1,1,1,0,0,1
System open request module page. EABDB can see the messages in the his/her requests.,0,0,0,1,1,1,0,0,1
EABDB select the inbox button and system shows the inbox.,1,0,0,0,1,1,0,0,1
EABDB can see the messages in the his/her requests.,0,0,0,1,1,1,0,0,1
"EABDB control students informations, advisor information and thesis name. EABDB fill the anti-spam field. EABDB submit for correction in status field. EABDB click the save changes button.",1,0,0,0,1,1,0,0,1
System send a notification to advisor and student,0,0,0,1,1,1,0,0,1
Advisor click modules.,1,0,0,0,1,1,0,0,1
Advisor click Module SSC.,1,0,0,0,1,1,0,0,1
System open Module SSC.,0,1,0,1,2,1,1,0,2
Advisor fill the student name and surname field. Advisor fill the student ID field. Advisor fill the student E-Mail field. Advisor fill the advisor field. Advisor fill the thesis name in thesis name field. Advisor fill the program name field. Advisor click button “Master’s” in program name field. Advisor control check list and approve all list in check list field. Advisor control check list and not approve some information in check list field. Advisor filled the anti-spam field. Advisor select “For Approve” or “Not Suitable” in status field. Advisor click the “save changes” button.,1,0,0,0,1,1,0,0,1
System send a notification to EABDB and student. System send a notification to student about result of SSC module.,0,0,0,1,1,1,0,0,1
EABDB click the pending request button,1,0,0,0,1,1,0,0,1
System open request module page. System shows the requests.,0,1,0,1,2,1,0,0,1
System shows the inbox. EABDB can see the messages,0,1,0,1,2,1,1,0,2
System shows the request details page.,0,1,0,1,2,1,1,0,2
EABDB control informations in SSC module. EABDB fill the anti-spam field. EABDB submit “approved” in status field. EABDB submit “not suitable” in status field. EABDB click the save changes button.,1,0,0,0,1,1,0,0,1
System send a notification to advisor and student. System send a notification to student and advisor about result of SSC module.,0,0,0,0,0,1,0,0,1
System shows the modules submenu,0,1,0,1,2,1,1,0,2
Advisor click Module JA.,1,0,0,0,1,1,0,0,1
System shows Module JA submenu,0,1,0,1,2,1,1,0,2
Advisor click Jury Appointment button.,1,0,0,0,1,1,0,0,1
System open Module JA: Jury Appointment page.,0,0,0,1,1,1,0,0,1
"Advisor fill the name and surname field. Advisor fill the title field. Advisor fill co-advisor’s name and surname field. Advisor fill the co-advisor’s title field. Advisor fill the student name and surname field. Advisor fill student’s id field. Advisor fill student’s program name field. Advisor choose the face to face for the thesis defense type. Advisor choose the online for the thesis defense type. Advisor fill the place field for the thesis defense. Advisor fill the programme use for online field for the thesis defense. Advisor fill the date field for the thesis defense. Advisor fill the time field for the thesis defense. Advisor fill the name surname, institution and department fields in official members’ field. Advisor fill the name surname, institution and department fields in backup members’ field. Advisor fill the name surname, institution and department fields in jury members from outside IZTECH field. Advisor filled the anti-spam field. Advisor click the save changes button.",1,0,0,0,1,1,0,0,1
System send a notification to EABDB.,0,0,0,1,1,1,0,0,1
EABDB clicks the pending request module.,1,0,0,0,1,1,0,0,1
System open requested module page. System shows the requests.,0,1,0,1,2,1,1,0,2
EABDB passes the anti-spam field. EABDB selects the status of the module as ‘approved. EABDB selects the status of the module as ‘not approved’. EABDB clicks the save changes button.,1,0,0,0,1,1,0,0,1
System transfers this operation to EABDB pending requests’ outbox.,0,0,1,0,1,0,1,0,1
System transfers this operation to student pending request’s inbox.,0,0,1,0,1,0,1,0,1
System sends a notification to student. System send a notification to advisor and student about correction.,0,0,0,1,1,1,0,0,1
System shows Module JA submenu.,0,1,0,1,2,1,1,0,2
Advisor click Jury Appointment.,1,0,0,0,1,1,0,0,1
System open Module JA: Jury Appointment page,0,0,0,1,1,1,0,0,1
"Advisor fill the name and surname field. Advisor fill the title field. Advisor fill the student name and surname field. Advisor fill student’s id field. Advisor fill student’s program name field. Advisor selects the reason. Advisor choose the face to face for the thesis defense type. Advisor choose online for the thesis defense type. Advisor fill the place field for the thesis defense. Advisor fill the date field for the thesis defense. Advisor fill the time field for the thesis defense. Advisor fill the name surname, institution and department fields and e-mail in table field. Advisor filled the anti-spam field. Advisor click the save changes button.",1,0,0,0,1,1,0,0,1
System transmits this operation to EABDB pending requests' inbox to approve.,0,0,1,0,1,0,1,0,1
System transmits this operation to Advisor pending requests’ outbox.,0,0,1,0,1,0,1,0,1
System send a notification to EABDB,0,0,0,1,1,1,0,0,1
System open requested module page,0,1,0,1,2,1,1,0,2
EABDB passes the anti-spam field. EABDB selects the status of the module as ‘approved’. EABDB selects the status of the module as ‘not approved’. EABDB clicks the save changes button.,1,0,0,0,1,1,0,0,1
Jury clicks modules button.,1,0,0,0,1,1,0,0,1
Advisor clicks Module Notification.,1,0,0,0,1,1,0,0,1
System open Module Notification.,0,1,0,1,2,1,1,0,2
Jury fills the name and surname field. Jury fills the student ID field. Jury fills the date field. Jury selects the reached decision. Jury selects the method examination. Jury selects the exam result. Jury selects the Program Name and Status. Each Jury selects a field from table. Jury fills the title field. Jury fills the first name field. Jury fills the last name field. Jury fills the first institutions field. Jury fills the last department field. Jury selects the signature box field for signature. Jury passes the anti-spam field. Jury clicks the save changes button.,1,0,0,0,1,1,0,0,1
System transfers this operation to EABDB pending requests’ inbox to approve.,0,0,1,0,1,0,1,0,1
System transfers this operation to jury pending requests’ outbox.,0,0,1,0,1,0,1,0,1
System sends a notification to student.,0,0,0,1,1,1,0,0,1
EABDB passes the anti-spam field. EABDB selects the status of the module as ‘approved’. EABDB selects the status of the module as ‘not approved’.,1,0,0,0,1,1,0,0,1
EABDB clicks the save changes button.,1,0,0,0,1,1,0,0,1
Jury clicks modules.,1,0,0,0,1,1,0,0,1
Jury fills the name and surname field. Jury fills the student ID field. Jury fills the date field. Jury selects the exam result. Jury fills the title field. Jury fills the member first and last name field. Jury fills the member title field. Jury fills the member institution field. Jury fills the member department field. Jury fills the member department field. Jury passes the anti-spam field. Jury clicks the save changes button.,1,0,0,0,1,1,0,0,1
System transfers this operation to jury pending requests’outbox.,0,0,1,0,1,0,1,0,1
System open requested module page.,0,1,0,1,2,1,1,0,2
System sends a notification to student. System send a notification to student about correction.,0,0,0,1,1,1,0,1,2
Student clicks modules.,1,0,0,0,1,1,0,0,1
Student clicks Module Notification.,1,0,0,0,1,1,0,0,1
System open Module Notification,0,1,0,1,2,1,1,0,2
Student fills the name and surname field Student fills the student ID field. Student fills the E-Mail field. Student fills the advisor field Student fills the thesis field Student fills the program name field Student selects the program status. Student selects the second exam type such as face to face or online Student fill date field. Student fill time field. Student passes the anti-spam field. Student clicks the save changes button,1,0,0,0,1,1,0,0,1
System transfers this operation to advisor pending requests’ inbox to approve.,0,0,1,0,1,0,1,0,1
System transfers this operation to student pending requests’ outbox,0,0,1,0,1,0,1,0,1
System sends a notification to advisor.,0,0,0,1,1,1,0,1,2
Advisor clicks the pending request module.,1,0,0,0,1,1,0,0,1
Advisor passes the anti-spam field. Advisor selects the status of the module as ‘controlled’.,1,0,0,0,1,1,0,0,1
Advisor clicks the save changes button.,1,0,0,0,1,1,0,0,1
System transfers this operation to advisor pending requests’ outbox.,0,0,1,0,1,0,1,0,1
System sends a notification to EABDB.,0,0,0,1,1,1,0,0,1
EABDB passes the anti-spam field EABDB selects the status of the module as ‘approved’. EABDB selects the status of the module as ‘not approved’. EABDB clicks the save changes button,1,0,0,0,1,1,0,0,1
System transfers this operation to EABDB pending requests’ outbox,0,0,1,0,1,0,1,0,1
System sends a notification to student and advisor. System send a notification to advisor and student about correction.,0,0,0,1,1,1,0,0,1
Student clicks the pending request module.,1,0,0,0,1,1,0,0,1
Student selects the inbox button.,1,0,0,0,1,1,0,0,1
System shows the inbox,0,1,0,1,2,1,1,0,2
Student clicks the system message.,1,0,0,0,1,1,0,0,1
System shows related module.,0,1,0,1,2,1,1,0,2
Student fills the name and surname field Student fills the student ID field. Student fills program name field. Student fills the advisor field. Student fills the date student passed thesis defense. Student selects No for deadline extension. Student selects YES for deadline extension. Student clicks upload file button and select thesis from device. Student filled the anti-spam field. Student selects the status. Student click the save changes button.,1,0,0,0,1,1,0,0,1
System transmits this operation to Student’s pending requests’ outbox.,0,0,1,0,1,0,1,0,1
System transmits this operation to Jury pending requests’ inbox.,0,0,1,0,1,0,1,0,1
System transmits this operation to GSES pending requests’ inbox to approve.,0,0,1,0,1,0,1,0,1
System send a notification to Student. System send a notification to Jury member. System send a notification to Advisor,0,0,0,1,1,1,0,0,1
Jury member clicks modules.,1,0,0,0,1,1,0,0,1
Jury member clicks Module TS.,1,0,0,0,1,1,0,0,1
System shows Module TS: Thesis Submission.,0,1,0,1,2,1,1,0,2
Jury member fills the title field on the thesis exam jury table Jury member fills the name on the thesis exam jury table. Jury member fills the surname on the thesis exam jury table. Jury member fills the institution on the thesis exam jury table. Jury member fills the department on the thesis exam jury table Jury member click the signature on the thesis exam jury table. Jury members filled the anti-spam field. Jury members selects the status. Jury members click the save changes button,1,0,0,0,1,1,0,0,1
System transmits this operation to Student’s pending requests’ inbox.,0,0,1,0,1,0,1,0,1
